id,hypothesis_category,text,expected_label,rationale,predicted_label,predicted_probability,correct
1,negation,The latest update did not improve battery life at all.,negative,This example uses negation before the positive cue improve to test whether the model catches the negative meaning.,negative,0.8187472224235535,True
2,negation,This app is not bad after the update.,positive,This example uses negation before bad to test whether the model understands that not bad is mildly positive.,neutral,0.6639395952224731,False
3,negation,The app does not crash now.,positive,"This example includes the negative trigger crash but negates it, making the intended sentiment positive.",negative,0.5306986570358276,False
4,negation,I cannot say this app is terrible anymore.,positive,This example negates a strong negative word to test whether the model relies on terrible or understands the full sentence.,negative,0.9663792848587036,False
5,negation,It is not useful for my work.,negative,This example negates the positive word useful to test whether the model catches the negative meaning.,negative,0.46247559785842896,True
6,lexical_trigger,This app is no longer reliable on my phone.,negative,This example contains the positive cue reliable but the phrase no longer flips the sentiment to negative.,negative,0.9619852900505066,True
7,lexical_trigger,"Great idea, poor execution.",negative,This example starts with the positive cue great but ends with a negative judgment.,negative,0.6433636546134949,True
8,lexical_trigger,The design is beautiful but the app is unusable.,negative,This example tests whether the model overweights beautiful and misses unusable.,neutral,0.7647092938423157,False
9,lexical_trigger,"Fast download, but every file becomes corrupted.",negative,This example includes the positive cue fast but the actual user experience is negative.,neutral,0.8062836527824402,False
10,lexical_trigger,The update is impressive only because it broke fewer things than last time.,negative,This example uses a positive cue impressive while describing a negative comparison.,positive,0.6706798672676086,False
11,domain_shift,The company reported a 20 percent increase in quarterly revenue.,neutral,"This business-news sentence is factual reporting, not a consumer app opinion.",neutral,0.4001005291938782,True
12,domain_shift,The actor announced a new film during the festival press event.,neutral,This entertainment-news sentence has no clear app-review sentiment.,neutral,0.4099760949611664,True
13,domain_shift,The cybersecurity team investigated an attack on the network.,neutral,This news sentence contains the negative word attack but reports an event rather than user sentiment.,negative,0.4413292109966278,False
14,domain_shift,The recipe calls for fresh basil and a slow simmer.,neutral,This non-app domain sentence tests whether the classifier forces sentiment onto unrelated prose.,neutral,0.6424029469490051,True
15,domain_shift,The team won the final match after a late goal.,neutral,This sports sentence may sound positive but is factual reporting rather than app sentiment.,neutral,0.4181661307811737,True
16,length_extreme,Works.,positive,This very short review tests whether the model can classify minimal positive text.,neutral,0.49417075514793396,False
17,length_extreme,Broken again.,negative,This very short review tests whether the model can classify minimal negative text.,negative,0.8018856048583984,True
18,length_extreme,Okay.,neutral,This very short review tests whether the model can handle ambiguous minimal neutral text.,neutral,0.7712742686271667,True
19,length_extreme,"After the update I opened the app, tried to log in, waited for the loading screen, restarted my phone, cleared the cache, reinstalled everything, and still could not access my account, so I finally gave up.",negative,This long sentence tests whether the model preserves the negative meaning across many details.,negative,0.9616222977638245,True
20,length_extreme,"I like the clean layout, the fast loading time, the simple menus, and the helpful notifications, although I still think the search feature could be improved in a future update.",positive,This long sentence tests whether the model handles mixed but mostly positive feedback.,positive,0.8795238137245178,True
21,sarcasm,"Great, another update that broke everything.",negative,This sarcastic sentence uses the positive word great to express negative sentiment.,positive,0.8283217549324036,False
22,sarcasm,Amazing work making the app slower than before.,negative,This sarcastic sentence uses amazing positively on the surface but the intended meaning is negative.,positive,0.8842185735702515,False
23,sarcasm,"Perfect, now I have to restart the app every five minutes.",negative,This sarcastic sentence uses perfect while describing a negative failure.,positive,0.8990582227706909,False
24,sarcasm,Love waiting forever for a page to load.,negative,This sarcastic sentence uses love but describes a frustrating experience.,positive,0.8048883676528931,False
25,sarcasm,Fantastic job removing the only feature I used.,negative,This sarcastic sentence uses fantastic but the user is complaining.,positive,0.8890304565429688,False
26,other,"The app is fine, but I would not recommend it.",negative,This example tests mixed sentiment where fine may look neutral but the recommendation is negative.,neutral,0.7890143990516663,False
27,other,"I do not love it, but it gets the job done.",neutral,This example tests mild mixed sentiment where the user is neither clearly positive nor negative.,neutral,0.7492527365684509,True
28,other,"The app is simple, stable, and boring in the best way.",positive,This example tests whether boring is treated as negative even when the phrase says it is positive.,positive,0.6044315099716187,True
29,other,Nothing changed after the update.,neutral,This example tests whether lack of change is treated as neutral rather than negative.,neutral,0.678958535194397,True
30,other,"It works for basic tasks, but power users will be disappointed.",neutral,This example tests mixed audience-specific sentiment where the overall label is neutral.,neutral,0.7497358918190002,True
